1;2017-11-06 08:47:54,098;2017-11-06 08:48:12,557;18455
2;2017-11-06 08:52:14,300;2017-11-06 08:52:32,140;17837
3;2017-11-06 08:56:34,411;2017-11-06 08:56:53,248;18835
4;2017-11-06 09:00:53,747;2017-11-06 09:01:11,843;18088
6;2017-11-06 09:05:13,226;2017-11-06 09:05:32,756;19516
7;2017-11-06 09:09:32,233;2017-11-06 09:09:50,599;18354
8;2017-11-06 09:13:50,810;2017-11-06 09:14:08,761;17934
9;2017-11-06 09:18:09,094;2017-11-06 09:18:27,396;18292
11;2017-11-06 09:22:27,015;2017-11-06 09:22:45,962;18930
12;2017-11-06 09:26:44,700;2017-11-06 09:27:02,553;17843
13;2017-11-06 09:31:02,120;2017-11-06 09:31:19,932;17800
14;2017-11-06 09:35:18,993;2017-11-06 09:35:37,223;18218
16;2017-11-06 09:39:35,583;2017-11-06 09:39:55,184;19589
17;2017-11-06 09:43:53,391;2017-11-06 09:44:11,418;18008
18;2017-11-06 09:48:14,750;2017-11-06 09:48:33,150;18393
19;2017-11-06 09:52:34,728;2017-11-06 09:52:52,883;18146
21;2017-11-06 09:54:19,424;2017-11-06 09:57:39,841;43705
23;2017-11-06 10:01:14,185;2017-11-06 10:01:34,241;20049
24;2017-11-06 10:05:33,430;2017-11-06 10:05:51,694;18251
25;2017-11-06 10:09:52,443;2017-11-06 10:10:10,773;18322
27;2017-11-06 10:14:10,919;2017-11-06 10:14:29,563;18633
28;2017-11-06 10:18:29,138;2017-11-06 10:18:47,155;18009
29;2017-11-06 10:22:47,092;2017-11-06 10:23:05,165;18063
30;2017-11-06 10:27:04,729;2017-11-06 10:27:22,968;18232
32;2017-11-06 10:31:21,903;2017-11-06 10:31:40,812;18902
33;2017-11-06 10:35:38,798;2017-11-06 10:35:56,518;17710
34;2017-11-06 10:39:55,332;2017-11-06 10:40:13,716;18376
35;2017-11-06 10:44:15,108;2017-11-06 10:44:33,352;18231
37;2017-11-06 10:48:35,951;2017-11-06 10:48:55,130;19169
38;2017-11-06 10:52:56,247;2017-11-06 10:53:14,420;18165
39;2017-11-06 10:57:16,125;2017-11-06 10:57:34,292;18158
40;2017-11-06 11:01:35,766;2017-11-06 11:01:53,655;17885
42;2017-11-06 11:03:19,242;2017-11-06 11:06:37,877;41899
44;2017-11-06 11:10:13,994;2017-11-06 11:10:34,138;20136
45;2017-11-06 11:14:32,328;2017-11-06 11:14:50,890;18552
46;2017-11-06 11:18:50,609;2017-11-06 11:19:08,961;18348
48;2017-11-06 11:23:08,312;2017-11-06 11:23:27,051;18729
49;2017-11-06 11:27:26,050;2017-11-06 11:27:44,194;18137
50;2017-11-06 11:31:43,196;2017-11-06 11:32:01,271;18070
51;2017-11-06 11:36:00,182;2017-11-06 11:36:18,300;18110
53;2017-11-06 11:40:16,595;2017-11-06 11:40:35,439;18834
54;2017-11-06 11:44:36,230;2017-11-06 11:44:54,561;18316
55;2017-11-06 11:48:56,731;2017-11-06 11:49:15,342;18603
56;2017-11-06 11:53:17,026;2017-11-06 11:53:35,464;18424
58;2017-11-06 11:57:36,653;2017-11-06 11:57:56,025;19369
59;2017-11-06 12:01:56,200;2017-11-06 12:02:14,174;17963
60;2017-11-06 12:06:15,685;2017-11-06 12:06:33,949;18259
61;2017-11-06 12:10:34,559;2017-11-06 12:10:52,413;17845
63;2017-11-06 12:12:18,512;2017-11-06 12:15:37,421;43190
65;2017-11-06 12:19:11,374;2017-11-06 12:19:31,359;19972
66;2017-11-06 12:23:28,998;2017-11-06 12:23:46,979;17972
67;2017-11-06 12:27:46,314;2017-11-06 12:28:04,102;17781
69;2017-11-06 12:32:03,471;2017-11-06 12:32:21,977;18496
70;2017-11-06 12:36:20,438;2017-11-06 12:36:38,981;18537
71;2017-11-06 12:40:37,134;2017-11-06 12:40:55,798;18655
72;2017-11-06 12:44:56,703;2017-11-06 12:45:14,911;18195
74;2017-11-06 12:49:16,948;2017-11-06 12:49:36,482;19524
75;2017-11-06 12:53:37,232;2017-11-06 12:53:55,756;18514
76;2017-11-06 12:57:57,303;2017-11-06 12:58:15,617;18301
77;2017-11-06 13:02:16,607;2017-11-06 13:02:34,971;18354
79;2017-11-06 13:06:35,679;2017-11-06 13:06:55,317;19629
80;2017-11-06 13:10:54,419;2017-11-06 13:11:12,560;18131
81;2017-11-06 13:15:13,022;2017-11-06 13:15:31,245;18211
82;2017-11-06 13:19:31,432;2017-11-06 13:19:49,781;18339
84;2017-11-06 13:21:17,373;2017-11-06 13:24:33,052;42901
86;2017-11-06 13:27:37,208;2017-11-06 13:28:51,659;42447
87;2017-11-06 13:28:09,208;2017-11-06 13:33:07,627;42581
88;2017-11-06 13:32:25,030;2017-11-06 13:37:23,740;41337
90;2017-11-06 13:37:25,529;2017-11-06 13:41:42,356;43914
91;2017-11-06 13:40:58,440;2017-11-06 13:46:01,653;41905
92;2017-11-06 13:45:19,731;2017-11-06 13:50:24,000;43466
93;2017-11-06 13:49:40,520;2017-11-06 13:54:41,657;41367
96;2017-11-06 13:58:18,685;2017-11-06 13:58:38,847;20150
97;2017-11-06 14:02:38,050;2017-11-06 14:02:56,361;18304
98;2017-11-06 14:06:57,229;2017-11-06 14:07:15,411;18170
99;2017-11-06 14:11:16,094;2017-11-06 14:11:34,289;18189
101;2017-11-06 14:15:34,585;2017-11-06 14:15:54,222;19628
