148;12:08:35:460;903.20;1095.70
149;12:08:45:460;889.70;1112.47
150;12:08:55:460;880.00;1125.01
151;12:09:05:460;846.40;1169.86
152;12:09:15:460;860.00;1151.27
153;12:09:25:460;884.90;1118.40
154;12:09:35:460;894.90;1105.79
155;12:09:45:460;864.40;1145.47
156;12:09:55:460;856.40;1156.15
157;12:10:05:460;866.70;1142.52
158;12:10:15:460;867.20;1141.67
159;12:10:25:460;898.00;1102.28
160;12:10:35:460;895.90;1104.67
161;12:10:45:460;868.30;1140.10
162;12:10:55:460;876.30;1129.79
163;12:11:05:460;901.10;1098.32
164;12:11:15:460;910.50;1086.90
165;12:11:25:460;899.20;1100.55
166;12:11:35:460;895.30;1105.35
167;12:11:45:460;877.80;1127.85
168;12:11:55:460;867.10;1141.78
169;12:12:05:460;823.60;1202.81
170;12:12:15:460;806.90;1227.70
171;12:12:25:460;803.20;1233.60
172;12:12:35:460;816.20;1213.60
173;12:12:45:460;843.30;1174.39
174;12:12:55:460;893.60;1107.70
175;12:13:05:460;896.00;1104.69
176;12:13:15:460;884.00;1119.72
177;12:13:25:460;882.80;1121.44
178;12:13:35:460;873.90;1132.83
179;12:13:45:460;863.20;1147.06
180;12:13:55:460;865.00;1144.39
181;12:14:05:460;834.80;1183.11
182;12:14:15:460;827.40;1200.47
183;12:14:25:460;865.90;1143.46
184;12:14:35:460;874.90;1131.60
185;12:14:45:460;854.40;1158.83
186;12:14:55:460;798.40;1240.68
187;12:15:05:460;808.40;1225.38
188;12:15:15:460;801.90;1235.64
189;12:15:25:460;801.50;1236.04
190;12:15:35:460;861.10;1149.87
191;12:15:45:460;821.40;1205.84
192;12:15:55:460;793.20;1249.22
193;12:16:05:460;823.00;1203.56
194;12:16:15:460;791.90;1251.33
195;12:16:25:460;812.40;1219.21
196;12:16:35:460;789.90;1254.11
197;12:16:45:460;795.00;1246.51
198;12:16:55:460;813.60;1217.53
199;12:17:05:460;783.10;1264.41
200;12:17:15:460;799.30;1240.42
201;12:17:25:460;811.40;1221.10
202;12:17:35:460;829.90;1193.31
203;12:17:45:460;796.70;1243.76
204;12:17:55:460;846.40;1170.20
205;12:18:05:460;926.80;1067.68
206;12:18:15:460;867.30;1141.88
207;12:18:25:460;889.30;1113.06
208;12:18:35:460;860.00;1151.43
209;12:18:45:460;877.10;1128.88
210;12:18:55:460;875.90;1130.34
211;12:19:05:460;887.60;1115.36
212;12:19:15:460;887.80;1115.05
213;12:19:25:460;918.10;1078.03
214;12:19:35:460;877.70;1128.08
215;12:19:45:462;836.33;1184.14
216;12:19:55:460;796.16;1242.99
217;12:20:05:460;802.50;1236.73
218;12:20:15:460;835.40;1185.80
219;12:20:25:460;853.40;1160.26
220;12:20:35:460;915.00;1081.54
221;12:20:45:460;884.50;1119.33
222;12:20:55:460;894.40;1106.85
223;12:21:05:460;863.80;1146.33
224;12:21:15:460;894.20;1107.05
225;12:21:25:460;876.50;1129.56
226;12:21:35:460;857.30;1155.24
227;12:21:45:460;830.80;1192.26
228;12:21:55:460;878.10;1127.63
229;12:22:05:460;897.90;1102.38
230;12:22:15:460;880.70;1124.06
231;12:22:25:460;801.90;1235.61
232;12:22:35:460;809.60;1223.91
233;12:22:45:460;820.00;1208.13
234;12:22:55:460;877.10;1128.82
235;12:23:05:460;884.20;1119.70
236;12:23:15:460;868.50;1139.94
237;12:23:25:460;887.10;1115.88
238;12:23:35:460;899.20;1100.97
239;12:23:45:460;876.00;1130.29
240;12:23:55:462;861.43;1149.34
241;12:24:05:460;850.77;1164.48
242;12:24:15:460;865.60;1143.94
243;12:24:25:460;885.70;1117.64
244;12:24:35:460;851.50;1163.23
245;12:24:45:460;866.60;1142.66
246;12:24:55:460;816.60;1213.12
247;12:25:05:460;880.80;1124.03
248;12:25:15:460;880.30;1124.71
249;12:25:25:460;796.70;1243.80
250;12:25:35:460;797.10;1243.22
251;12:25:45:460;877.00;1128.95
252;12:25:55:460;802.90;1233.93
253;12:26:05:460;787.30;1258.58
254;12:26:15:460;788.50;1256.74
255;12:26:25:460;802.00;1235.56
256;12:26:35:460;815.00;1215.57
257;12:26:45:460;867.80;1141.26
258;12:26:55:460;871.80;1135.72
259;12:27:05:460;827.10;1197.34
260;12:27:15:460;827.60;1197.34
261;12:27:25:460;832.40;1190.16
262;12:27:35:460;825.00;1200.77
263;12:27:45:460;826.90;1198.04
264;12:27:55:460;797.90;1242.04
265;12:28:05:460;853.50;1160.26
266;12:28:15:460;846.60;1169.86
267;12:28:25:460;813.60;1217.81
268;12:28:35:460;793.20;1249.28
269;12:28:45:460;808.60;1225.25
270;12:28:55:460;795.30;1245.98
271;12:29:05:460;800.00;1238.71
272;12:29:15:460;792.80;1248.03
273;12:29:25:460;803.60;1234.85
274;12:29:35:460;795.40;1245.73
275;12:29:45:460;828.60;1195.39
276;12:29:55:460;795.70;1245.29
277;12:30:05:460;795.80;1245.32
278;12:30:15:460;793.40;1248.95
279;12:30:25:460;786.90;1259.54
280;12:30:35:460;858.50;1153.51
281;12:30:45:460;827.80;1196.58
282;12:30:55:460;770.80;1285.86
283;12:31:05:460;805.10;1230.80
284;12:31:15:460;832.90;1189.28
285;12:31:25:460;843.90;1173.64
286;12:31:35:460;862.40;1148.24
287;12:31:45:460;808.70;1225.12
288;12:31:55:460;800.40;1237.85
289;12:32:05:460;822.90;1203.75
290;12:32:15:460;811.00;1221.83
291;12:32:25:460;801.30;1236.41
292;12:32:35:460;831.60;1191.38
293;12:32:45:460;808.60;1225.24
294;12:32:55:460;818.50;1210.52
295;12:33:05:460;821.20;1206.16
296;12:33:15:460;792.50;1250.39
297;12:33:25:460;843.00;1174.89
298;12:33:35:460;820.20;1207.77
299;12:33:45:460;872.70;1134.55
300;12:33:55:460;872.80;1134.40
301;12:34:05:460;867.60;1141.45
302;12:34:15:460;844.30;1173.03
303;12:34:25:460;796.20;1244.65
304;12:34:35:460;859.40;1152.37
305;12:34:45:460;800.60;1237.60
306;12:34:55:460;864.20;1145.94
307;12:35:05:460;821.90;1205.40
308;12:35:15:460;874.30;1132.39
309;12:35:25:460;834.20;1187.40
310;12:35:35:460;856.30;1156.54
311;12:35:45:460;793.00;1249.20
312;12:35:55:460;827.90;1196.68
313;12:36:05:460;772.70;1282.94
314;12:36:15:460;810.30;1222.46
315;12:36:25:460;860.90;1150.23
316;12:36:35:460;858.50;1153.59
317;12:36:45:460;829.10;1194.66
318;12:36:55:460;803.30;1233.39
319;12:37:05:460;809.90;1223.30
320;12:37:15:460;812.10;1219.93
321;12:37:25:460;777.20;1275.32
322;12:37:35:460;775.20;1278.46
323;12:37:45:460;793.10;1249.48
324;12:37:55:460;786.70;1259.73
325;12:38:05:460;797.70;1242.31
326;12:38:15:460;782.80;1266.16
327;12:38:25:460;792.00;1251.38
328;12:38:35:460;828.00;1196.24
329;12:38:45:460;837.50;1182.71
330;12:38:55:460;800.70;1237.54
331;12:39:05:460;782.60;1266.38
332;12:39:15:460;796.00;1244.65
333;12:39:25:460;809.50;1223.81
334;12:39:35:460;823.50;1203.01
335;12:39:45:460;887.20;1115.73
336;12:39:55:460;868.60;1140.11
337;12:40:05:460;834.80;1186.41
338;12:40:15:460;790.10;1254.28
339;12:40:25:460;785.30;1261.73
340;12:40:35:460;837.90;1182.27
341;12:40:45:460;829.00;1194.89
342;12:40:55:460;837.10;1183.32
343;12:41:05:460;819.20;1209.29
344;12:41:15:460;819.70;1208.64
345;12:41:25:460;844.40;1172.92
346;12:41:35:460;859.70;1151.96
347;12:41:45:460;857.70;1154.59
348;12:41:55:460;895.90;1104.99
349;12:42:05:460;887.00;1116.21
350;12:42:15:460;846.40;1170.16
